ID,Ratio,Line,Nb_rep,Coc_height,Coc_width
690,I,1,3,3.297,2.297
691,I,1,3,2.877,2.32
692,I,1,3,3.371,2.239
693,I,1,3,3.43,2.37
694,I,1,3,3.256,2.486
695,I,1,3,3.067,2.285
696,I,1,3,3.036,2.403
697,I,1,3,3.221,2.37
698,I,1,3,2.979,2.348
699,I,1,3,3.325,2.321
700,I,2,1,3.07,2.593
701,I,2,1,3.178,2.673
702,I,2,1,2.893,2.492
703,I,2,2,2.645,2.41
704,I,2,2,3.368,2.751
705,I,2,2,3.318,2.639
706,I,2,2,3.4,2.582
707,I,2,2,3.121,2.349
708,I,2,2,3.112,2.894
709,I,2,3,3.349,2.607
710,I,2,3,3.459,2.291
711,I,2,3,3.299,2.348
712,I,2,3,3.612,2.415
713,I,2,3,3.266,2.516
714,I,2,3,3.63,2.597
715,I,2,3,3.544,2.28
716,I,2,3,3.479,2.674
717,I,2,3,3.608,2.291
718,I,2,3,3.091,2.31
719,I,2,3,3.216,2.297
720,I,2,3,3.405,2.048
721,I,2,3,3.72,2.391
722,I,2,3,3.499,2.347
723,I,2,3,3.093,2.297
724,I,2,3,3.366,2.391
725,I,2,3,3.505,2.493
726,I,3,1,3.802,2.928
727,I,3,1,3.519,2.971
728,I,3,1,3.108,2.561
729,I,3,1,3.151,2.611
730,I,3,1,3.241,2.188
731,I,3,1,3.097,2.27
732,I,3,1,3.741,2.899
733,I,3,1,3.282,2.543
734,I,3,1,3.604,2.706
735,I,3,1,2.957,2.109
736,I,3,2,3.72,2.664
737,I,3,2,3.371,2.578
738,I,3,2,4.377,2.335
739,I,3,2,4.173,2.45
740,I,3,2,3.933,2.742
741,I,3,2,3.625,2.568
742,I,3,2,4.194,2.943
743,I,3,2,3.908,2.789
744,I,3,2,3.348,2.683
745,I,3,2,3.42,2.393
746,I,3,2,3.9,2.641
747,I,3,3,3.541,2.425
748,I,3,3,3.738,2.378
749,I,3,3,3.422,2.517
750,I,3,3,3.309,2.212
751,I,3,3,3.502,2.622
752,I,3,3,3.588,2.484
753,I,3,3,3.251,2.315
754,I,3,3,3.029,2.504
755,I,3,3,3.687,2.476
756,I,3,3,3.326,2.461
757,I,3,3,3.348,2.278
758,I,3,3,3.817,2.514
759,I,3,3,3.327,2.333
760,I,3,3,3.665,2.711
761,I,3,3,3.877,2.495
762,I,3,3,3.327,2.355
763,I,3,3,3.441,2.694
764,I,3,3,3.757,2.784
765,I,4,1,3.534,2.568
766,I,4,1,4.35,2.736
767,I,4,1,3.097,2.417
768,I,4,1,3.402,2.577
769,I,4,1,4.167,2.324
770,I,4,1,3.287,2.156
771,I,4,1,4.007,2.382
772,I,4,2,3.529,2.499
773,I,4,3,3.477,2.448
774,I,4,3,3.449,2.404
775,I,4,3,3.555,2.457
776,I,4,3,3.911,2.703
777,I,4,3,3.985,2.595
778,I,4,3,3.458,2.67
779,I,5,1,4.024,2.699
780,I,5,1,3.78,2.304
781,I,5,1,3.698,2.471
782,I,5,1,3.839,2.191
783,I,5,1,3.753,2.795
784,I,5,1,3.617,2.5
785,I,5,2,3.769,2.562
786,I,5,2,3.795,2.588
787,I,5,2,4.028,2.624
788,I,5,2,3.314,2.624
789,I,5,2,3.602,2.672
790,I,5,3,3.428,2.239
791,I,5,3,3.439,1.936
792,I,7,2,3.013,2.211
793,I,7,3,2.82,2.143
794,N,0,1,3.475,2.729
795,N,0,1,3.705,2.772
796,N,0,1,3.649,2.803
797,N,0,1,3.358,2.33
798,N,0,1,3.429,2.308
799,N,0,1,3.208,2.597
800,N,0,1,3.281,1.981
801,N,0,1,3.169,2.405
802,N,0,1,3.236,2.776
803,N,0,2,3.986,2.58
804,N,0,2,3.88,2.817
805,N,0,2,3.888,2.771
806,N,0,3,3.083,2.45
807,N,0,3,4.08,2.498
808,N,0,3,3.342,2.474
809,N,0,3,3.797,2.597
810,N,0,3,3.345,2.538
811,N,0,3,3.473,2.593
812,N,0,3,3.599,2.321
813,N,0,3,3.33,2.649
814,N,0,3,3.431,2.443
815,N,0,3,3.298,2.45
816,N,0,3,3.056,2.461
